Datetime,Monday
20/04/2020 00:00,1
20/04/2020 00:05,1
20/04/2020 00:10,2
20/04/2020 00:25,3
20/04/2020 00:30,1
20/04/2020 00:35,2
20/04/2020 00:40,2
20/04/2020 00:45,2
20/04/2020 00:50,2
20/04/2020 01:05,1
20/04/2020 01:10,1
20/04/2020 01:30,1
20/04/2020 01:40,1
20/04/2020 02:05,1
20/04/2020 02:10,1
20/04/2020 02:15,1
20/04/2020 02:50,1
20/04/2020 03:35,15
20/04/2020 03:40,37
20/04/2020 03:45,38
20/04/2020 03:50,22
20/04/2020 04:05,1
20/04/2020 04:10,2
20/04/2020 04:15,50
20/04/2020 04:20,35
20/04/2020 04:25,35
20/04/2020 04:30,27
20/04/2020 04:45,2
20/04/2020 05:05,5
20/04/2020 05:10,6
20/04/2020 05:15,4
20/04/2020 05:25,10
20/04/2020 05:35,6
20/04/2020 05:40,12
20/04/2020 05:45,5
20/04/2020 05:50,4
20/04/2020 05:55,5
20/04/2020 06:00,158
20/04/2020 06:05,185
20/04/2020 06:10,170
20/04/2020 06:15,166
20/04/2020 06:20,167
20/04/2020 06:25,169
20/04/2020 06:30,166
20/04/2020 06:35,137
20/04/2020 06:40,91
20/04/2020 06:45,89
20/04/2020 06:50,88
20/04/2020 06:55,92
20/04/2020 07:00,90
20/04/2020 07:05,87
20/04/2020 07:10,92
20/04/2020 07:15,87
20/04/2020 07:20,91
20/04/2020 07:25,93
20/04/2020 07:30,89
20/04/2020 07:35,93
20/04/2020 07:40,68
20/04/2020 07:45,55
20/04/2020 07:50,53
20/04/2020 07:55,51
20/04/2020 08:00,53
20/04/2020 08:05,53
20/04/2020 08:10,52
20/04/2020 08:15,50
20/04/2020 08:20,51
20/04/2020 08:25,52
20/04/2020 08:30,52
20/04/2020 08:35,49
20/04/2020 08:40,50
20/04/2020 08:45,50
20/04/2020 08:50,53
20/04/2020 08:55,54
20/04/2020 09:00,52
20/04/2020 09:05,50
20/04/2020 09:10,42
20/04/2020 09:15,39
20/04/2020 09:20,37
20/04/2020 09:25,38
20/04/2020 09:30,37
20/04/2020 09:35,38
20/04/2020 09:40,37
20/04/2020 09:45,38
20/04/2020 09:50,39
20/04/2020 09:55,37
20/04/2020 10:00,38
20/04/2020 10:05,37
20/04/2020 10:10,37
20/04/2020 10:15,38
20/04/2020 10:20,37
20/04/2020 10:25,37
20/04/2020 10:30,37
20/04/2020 10:35,36
20/04/2020 10:40,54
20/04/2020 10:45,75
20/04/2020 10:50,74
20/04/2020 10:55,57
20/04/2020 11:00,60
20/04/2020 11:05,37
20/04/2020 11:10,37
20/04/2020 11:15,37
20/04/2020 11:20,37
20/04/2020 11:25,38
20/04/2020 11:30,37
20/04/2020 11:35,37
20/04/2020 11:40,37
20/04/2020 11:45,36
20/04/2020 11:50,37
20/04/2020 11:55,37
20/04/2020 12:00,40
20/04/2020 12:05,39
20/04/2020 12:10,37
20/04/2020 12:15,38
20/04/2020 12:20,37
20/04/2020 12:25,37
20/04/2020 12:30,37
20/04/2020 12:35,40
20/04/2020 12:40,36
20/04/2020 12:45,37
20/04/2020 12:50,40
20/04/2020 12:55,38
20/04/2020 13:00,38
20/04/2020 13:05,38
20/04/2020 13:10,37
20/04/2020 13:15,37
20/04/2020 13:20,37
20/04/2020 13:25,37
20/04/2020 13:30,36
20/04/2020 13:35,37
20/04/2020 13:40,39
20/04/2020 13:45,39
20/04/2020 13:50,4
20/04/2020 13:55,2
20/04/2020 14:00,3
20/04/2020 14:05,6
20/04/2020 14:10,5
20/04/2020 14:15,3
20/04/2020 14:20,5
20/04/2020 14:25,3
20/04/2020 14:30,2
20/04/2020 14:35,2
20/04/2020 14:40,4
20/04/2020 14:45,4
20/04/2020 14:50,2
20/04/2020 14:55,2
20/04/2020 15:00,3
20/04/2020 15:05,3
20/04/2020 15:10,4
20/04/2020 15:15,4
20/04/2020 15:20,2
20/04/2020 15:25,3
20/04/2020 15:30,3
20/04/2020 15:35,4
20/04/2020 15:40,2
20/04/2020 15:45,4
20/04/2020 15:50,3
20/04/2020 15:55,5
20/04/2020 16:00,1
20/04/2020 16:10,1
20/04/2020 16:15,1
20/04/2020 16:20,1
20/04/2020 16:25,1
20/04/2020 16:30,1
20/04/2020 16:35,2
20/04/2020 16:40,2
20/04/2020 16:45,1
20/04/2020 16:50,1
20/04/2020 16:55,1
20/04/2020 17:00,1
20/04/2020 17:05,2
20/04/2020 17:10,2
20/04/2020 17:15,2
20/04/2020 17:20,1
20/04/2020 17:25,4
20/04/2020 17:30,13
20/04/2020 17:40,1
20/04/2020 17:45,1
20/04/2020 18:00,4
20/04/2020 18:05,2
20/04/2020 18:10,1
20/04/2020 18:15,2
20/04/2020 18:20,3
20/04/2020 18:25,1
20/04/2020 18:30,3
20/04/2020 18:35,1
20/04/2020 18:40,3
20/04/2020 18:45,5
20/04/2020 18:50,4
20/04/2020 18:55,3
20/04/2020 19:00,7
20/04/2020 19:05,2
20/04/2020 19:10,3
20/04/2020 19:15,1
20/04/2020 19:25,1
20/04/2020 19:30,5
20/04/2020 19:35,2
20/04/2020 19:40,2
20/04/2020 19:45,2
20/04/2020 19:50,3
20/04/2020 19:55,5
20/04/2020 20:00,1
20/04/2020 20:10,1
20/04/2020 20:15,2
20/04/2020 20:20,5
20/04/2020 20:25,4
20/04/2020 20:30,6
20/04/2020 20:35,5
20/04/2020 20:40,8
20/04/2020 20:45,6
20/04/2020 20:50,4
20/04/2020 20:55,15
20/04/2020 21:00,5
20/04/2020 21:05,1
20/04/2020 21:10,4
20/04/2020 21:15,3
20/04/2020 21:20,4
20/04/2020 21:25,4
20/04/2020 21:30,3
20/04/2020 21:35,9
20/04/2020 21:40,4
20/04/2020 21:45,6
20/04/2020 21:55,9
20/04/2020 22:00,2
20/04/2020 22:05,10
20/04/2020 22:10,7
20/04/2020 22:15,8
20/04/2020 22:20,4
20/04/2020 22:25,2
20/04/2020 22:30,2
20/04/2020 22:35,4
20/04/2020 22:40,2
20/04/2020 22:45,3
20/04/2020 22:50,3
20/04/2020 22:55,1
20/04/2020 23:00,4
20/04/2020 23:05,2
20/04/2020 23:10,4
20/04/2020 23:15,4
20/04/2020 23:20,1
20/04/2020 23:25,4
20/04/2020 23:30,4
20/04/2020 23:35,1
20/04/2020 23:40,4
20/04/2020 23:45,1
20/04/2020 23:50,2
