Datetime,Thursday
16/04/2020 00:10,3
16/04/2020 00:25,1
16/04/2020 00:30,1
16/04/2020 00:40,2
16/04/2020 00:50,4
16/04/2020 01:00,2
16/04/2020 01:05,2
16/04/2020 01:15,2
16/04/2020 01:20,1
16/04/2020 01:25,1
16/04/2020 01:40,2
16/04/2020 01:45,1
16/04/2020 02:10,1
16/04/2020 02:15,1
16/04/2020 02:40,2
16/04/2020 02:45,1
16/04/2020 02:50,1
16/04/2020 03:10,10
16/04/2020 03:15,24
16/04/2020 03:25,1
16/04/2020 03:30,23
16/04/2020 04:10,17
16/04/2020 04:15,34
16/04/2020 04:20,33
16/04/2020 04:25,15
16/04/2020 04:30,1
16/04/2020 05:35,1
16/04/2020 05:55,1
16/04/2020 06:00,496
16/04/2020 06:05,533
16/04/2020 06:10,501
16/04/2020 06:15,488
16/04/2020 06:20,479
16/04/2020 06:25,467
16/04/2020 06:30,460
16/04/2020 06:35,462
16/04/2020 06:40,433
16/04/2020 06:45,385
16/04/2020 06:50,380
16/04/2020 06:55,378
16/04/2020 07:00,377
16/04/2020 07:05,376
16/04/2020 07:10,383
16/04/2020 07:15,372
16/04/2020 07:20,365
16/04/2020 07:25,368
16/04/2020 07:30,352
16/04/2020 07:35,330
16/04/2020 07:40,331
16/04/2020 07:45,328
16/04/2020 07:50,327
16/04/2020 07:55,327
16/04/2020 08:00,321
16/04/2020 08:05,321
16/04/2020 08:10,318
16/04/2020 08:15,299
16/04/2020 08:20,320
16/04/2020 08:25,296
16/04/2020 08:30,284
16/04/2020 08:35,275
16/04/2020 08:40,276
16/04/2020 08:45,268
16/04/2020 08:50,244
16/04/2020 08:55,237
16/04/2020 09:00,238
16/04/2020 09:05,239
16/04/2020 09:10,239
16/04/2020 09:15,241
16/04/2020 09:20,237
16/04/2020 09:25,235
16/04/2020 09:30,260
16/04/2020 09:35,243
16/04/2020 09:40,233
16/04/2020 09:45,260
16/04/2020 09:50,272
16/04/2020 09:55,232
16/04/2020 10:00,195
16/04/2020 10:05,176
16/04/2020 10:10,158
16/04/2020 10:15,158
16/04/2020 10:20,162
16/04/2020 10:25,153
16/04/2020 10:30,151
16/04/2020 10:35,150
16/04/2020 10:40,153
16/04/2020 10:45,151
16/04/2020 10:50,154
16/04/2020 10:55,153
16/04/2020 11:00,148
16/04/2020 11:05,153
16/04/2020 11:10,151
16/04/2020 11:15,145
16/04/2020 11:20,141
16/04/2020 11:25,143
16/04/2020 11:30,145
16/04/2020 11:35,123
16/04/2020 11:40,106
16/04/2020 11:45,106
16/04/2020 11:50,106
16/04/2020 11:55,108
16/04/2020 12:00,97
16/04/2020 12:05,99
16/04/2020 12:10,96
16/04/2020 12:15,97
16/04/2020 12:20,99
16/04/2020 12:25,96
16/04/2020 12:30,95
16/04/2020 12:35,99
16/04/2020 12:40,96
16/04/2020 12:45,97
16/04/2020 12:50,96
16/04/2020 12:55,95
16/04/2020 13:00,89
16/04/2020 13:05,79
16/04/2020 13:10,81
16/04/2020 13:15,79
16/04/2020 13:20,79
16/04/2020 13:25,59
16/04/2020 13:30,43
16/04/2020 13:35,43
16/04/2020 13:40,41
16/04/2020 13:45,43
16/04/2020 13:50,43
16/04/2020 13:55,43
16/04/2020 14:00,40
16/04/2020 14:05,41
16/04/2020 14:10,43
16/04/2020 14:15,41
16/04/2020 14:20,41
16/04/2020 14:25,40
16/04/2020 14:30,40
16/04/2020 14:35,41
16/04/2020 14:40,41
16/04/2020 14:45,42
16/04/2020 14:50,41
16/04/2020 14:55,42
16/04/2020 15:00,44
16/04/2020 15:05,40
16/04/2020 15:10,42
16/04/2020 15:15,43
16/04/2020 15:20,41
16/04/2020 15:25,41
16/04/2020 15:30,41
16/04/2020 15:35,41
16/04/2020 15:40,38
16/04/2020 15:45,42
16/04/2020 15:50,40
16/04/2020 15:55,40
16/04/2020 16:00,41
16/04/2020 16:05,43
16/04/2020 16:10,40
16/04/2020 16:15,40
16/04/2020 16:20,39
16/04/2020 16:25,40
16/04/2020 16:30,39
16/04/2020 16:35,38
16/04/2020 16:40,37
16/04/2020 16:45,36
16/04/2020 16:50,35
16/04/2020 16:55,39
16/04/2020 17:00,39
16/04/2020 17:05,39
16/04/2020 17:10,43
16/04/2020 17:15,38
16/04/2020 17:20,39
16/04/2020 17:25,39
16/04/2020 17:30,40
16/04/2020 17:35,38
16/04/2020 17:40,39
16/04/2020 17:45,36
16/04/2020 17:50,30
16/04/2020 17:55,34
16/04/2020 18:00,42
16/04/2020 18:05,39
16/04/2020 18:10,39
16/04/2020 18:15,43
16/04/2020 18:20,38
16/04/2020 18:25,38
16/04/2020 18:30,40
16/04/2020 18:35,40
16/04/2020 18:40,37
16/04/2020 18:45,37
16/04/2020 18:50,41
16/04/2020 18:55,42
16/04/2020 19:00,42
16/04/2020 19:05,36
16/04/2020 19:10,32
16/04/2020 19:15,40
16/04/2020 19:20,33
16/04/2020 19:25,38
16/04/2020 19:30,38
16/04/2020 19:35,34
16/04/2020 19:40,36
16/04/2020 19:45,38
16/04/2020 19:50,37
16/04/2020 19:55,35
16/04/2020 20:00,36
16/04/2020 20:05,33
16/04/2020 20:10,35
16/04/2020 20:15,34
16/04/2020 20:20,29
16/04/2020 20:25,35
16/04/2020 20:30,29
16/04/2020 20:35,33
16/04/2020 20:40,34
16/04/2020 20:45,36
16/04/2020 20:50,32
16/04/2020 20:55,31
16/04/2020 21:00,31
16/04/2020 21:05,30
16/04/2020 21:10,32
16/04/2020 21:15,35
16/04/2020 21:20,32
16/04/2020 21:25,35
16/04/2020 21:30,27
16/04/2020 21:35,31
16/04/2020 21:40,29
16/04/2020 21:45,27
16/04/2020 21:50,31
16/04/2020 21:55,28
16/04/2020 22:00,30
16/04/2020 22:05,34
16/04/2020 22:10,30
16/04/2020 22:15,29
16/04/2020 22:20,29
16/04/2020 22:25,31
16/04/2020 22:30,31
16/04/2020 22:35,28
16/04/2020 22:40,27
16/04/2020 22:45,28
16/04/2020 22:50,28
16/04/2020 22:55,27
16/04/2020 23:00,28
16/04/2020 23:05,27
16/04/2020 23:10,27
16/04/2020 23:15,26
16/04/2020 23:20,29
16/04/2020 23:25,28
16/04/2020 23:30,30
16/04/2020 23:35,28
16/04/2020 23:40,27
16/04/2020 23:45,25
16/04/2020 23:50,29
16/04/2020 23:55,26
