Datetime,Tuesday
14/04/2020 00:00,28
14/04/2020 00:05,29
14/04/2020 00:10,26
14/04/2020 00:15,25
14/04/2020 00:20,25
14/04/2020 00:25,29
14/04/2020 00:30,27
14/04/2020 00:35,28
14/04/2020 00:40,27
14/04/2020 00:45,28
14/04/2020 00:50,26
14/04/2020 00:55,27
14/04/2020 01:00,27
14/04/2020 01:05,29
14/04/2020 01:10,26
14/04/2020 01:15,27
14/04/2020 01:20,27
14/04/2020 01:25,28
14/04/2020 01:30,27
14/04/2020 01:35,25
14/04/2020 01:40,27
14/04/2020 01:45,28
14/04/2020 01:50,25
14/04/2020 01:55,27
14/04/2020 02:00,24
14/04/2020 02:05,6
14/04/2020 02:10,6
14/04/2020 02:15,5
14/04/2020 02:20,8
14/04/2020 02:25,6
14/04/2020 02:30,7
14/04/2020 02:35,6
14/04/2020 02:40,5
14/04/2020 02:45,6
14/04/2020 02:50,4
14/04/2020 02:55,8
14/04/2020 03:00,6
14/04/2020 03:05,5
14/04/2020 03:10,5
14/04/2020 03:15,5
14/04/2020 03:20,5
14/04/2020 03:25,4
14/04/2020 03:30,53
14/04/2020 03:35,75
14/04/2020 03:40,76
14/04/2020 03:45,74
14/04/2020 03:50,13
14/04/2020 03:55,4
14/04/2020 04:00,6
14/04/2020 04:05,4
14/04/2020 04:10,5
14/04/2020 04:15,4
14/04/2020 04:20,5
14/04/2020 04:25,5
14/04/2020 04:30,6
14/04/2020 04:35,5
14/04/2020 04:40,13
14/04/2020 04:45,5
14/04/2020 04:50,5
14/04/2020 04:55,5
14/04/2020 05:00,5
14/04/2020 05:05,5
14/04/2020 05:10,8
14/04/2020 05:15,4
14/04/2020 05:20,12
14/04/2020 05:25,6
14/04/2020 05:30,5
14/04/2020 05:35,5
14/04/2020 05:40,5
14/04/2020 05:45,4
14/04/2020 05:50,5
14/04/2020 05:55,5
14/04/2020 06:00,236
14/04/2020 06:05,259
14/04/2020 06:10,253
14/04/2020 06:15,211
14/04/2020 06:20,212
14/04/2020 06:25,203
14/04/2020 06:30,215
14/04/2020 06:35,224
14/04/2020 06:40,198
14/04/2020 06:45,197
14/04/2020 06:50,194
14/04/2020 06:55,208
14/04/2020 07:00,190
14/04/2020 07:05,192
14/04/2020 07:10,187
14/04/2020 07:15,188
14/04/2020 07:20,186
14/04/2020 07:25,175
14/04/2020 07:30,150
14/04/2020 07:35,167
14/04/2020 07:40,186
14/04/2020 07:45,177
14/04/2020 07:50,176
14/04/2020 07:55,141
14/04/2020 08:00,143
14/04/2020 08:05,137
14/04/2020 08:10,111
14/04/2020 08:15,98
14/04/2020 08:20,93
14/04/2020 08:25,93
14/04/2020 08:30,93
14/04/2020 08:35,96
14/04/2020 08:40,93
14/04/2020 08:45,88
14/04/2020 08:50,91
14/04/2020 08:55,90
14/04/2020 09:00,93
14/04/2020 09:05,89
14/04/2020 09:10,84
14/04/2020 09:15,52
14/04/2020 09:20,51
14/04/2020 09:25,53
14/04/2020 09:30,52
14/04/2020 09:35,53
14/04/2020 09:40,53
14/04/2020 09:45,53
14/04/2020 09:50,50
14/04/2020 09:55,51
14/04/2020 10:00,51
14/04/2020 10:05,51
14/04/2020 10:10,50
14/04/2020 10:15,52
14/04/2020 10:20,53
14/04/2020 10:25,51
14/04/2020 10:30,51
14/04/2020 10:35,52
14/04/2020 10:40,51
14/04/2020 10:45,53
14/04/2020 10:50,51
14/04/2020 10:55,51
14/04/2020 11:00,51
14/04/2020 11:05,52
14/04/2020 11:10,51
14/04/2020 11:15,50
14/04/2020 11:20,53
14/04/2020 11:25,52
14/04/2020 11:30,52
14/04/2020 11:35,50
14/04/2020 11:40,50
14/04/2020 11:45,51
14/04/2020 11:50,50
14/04/2020 11:55,50
14/04/2020 12:00,51
14/04/2020 12:05,50
14/04/2020 12:10,48
14/04/2020 12:15,49
14/04/2020 12:20,49
14/04/2020 12:25,49
14/04/2020 12:30,48
14/04/2020 12:35,50
14/04/2020 12:40,50
14/04/2020 12:45,43
14/04/2020 12:50,43
14/04/2020 12:55,41
14/04/2020 13:00,40
14/04/2020 13:05,42
14/04/2020 13:10,42
14/04/2020 13:15,43
14/04/2020 13:20,43
14/04/2020 13:25,42
14/04/2020 13:30,41
14/04/2020 13:35,40
14/04/2020 13:40,42
14/04/2020 13:45,42
14/04/2020 13:50,41
14/04/2020 13:55,42
14/04/2020 14:00,42
14/04/2020 14:05,41
14/04/2020 14:10,43
14/04/2020 14:15,44
14/04/2020 14:20,41
14/04/2020 14:25,42
14/04/2020 14:30,41
14/04/2020 14:35,41
14/04/2020 14:40,41
14/04/2020 14:45,42
14/04/2020 14:50,41
14/04/2020 14:55,41
14/04/2020 15:00,39
14/04/2020 15:05,39
14/04/2020 15:10,40
14/04/2020 15:15,40
14/04/2020 15:20,40
14/04/2020 15:25,43
14/04/2020 15:30,38
14/04/2020 15:35,41
14/04/2020 15:40,40
14/04/2020 15:45,39
14/04/2020 15:50,40
14/04/2020 15:55,40
14/04/2020 16:00,39
14/04/2020 16:05,39
14/04/2020 16:10,37
14/04/2020 16:15,39
14/04/2020 16:20,38
14/04/2020 16:25,39
14/04/2020 16:30,40
14/04/2020 16:35,39
14/04/2020 16:40,39
14/04/2020 16:45,36
14/04/2020 16:50,33
14/04/2020 16:55,34
14/04/2020 17:00,35
14/04/2020 17:05,34
14/04/2020 17:10,35
14/04/2020 17:15,31
14/04/2020 17:20,35
14/04/2020 17:25,34
14/04/2020 17:30,32
14/04/2020 17:35,34
14/04/2020 17:40,33
14/04/2020 17:45,31
14/04/2020 17:50,31
14/04/2020 17:55,31
14/04/2020 18:00,31
14/04/2020 18:05,31
14/04/2020 18:10,31
14/04/2020 18:15,34
14/04/2020 18:20,32
14/04/2020 18:25,36
14/04/2020 18:30,31
14/04/2020 18:35,31
14/04/2020 18:40,32
14/04/2020 18:45,33
14/04/2020 18:50,28
14/04/2020 18:55,8
14/04/2020 19:00,11
14/04/2020 19:05,7
14/04/2020 19:10,9
14/04/2020 19:15,9
14/04/2020 19:20,7
14/04/2020 19:25,8
14/04/2020 19:30,9
14/04/2020 19:35,8
14/04/2020 19:40,7
14/04/2020 19:45,8
14/04/2020 19:50,8
14/04/2020 19:55,8
14/04/2020 20:00,13
14/04/2020 20:05,10
14/04/2020 20:10,7
14/04/2020 20:15,6
14/04/2020 20:20,9
14/04/2020 20:25,6
14/04/2020 20:30,13
14/04/2020 20:35,9
14/04/2020 20:40,9
14/04/2020 20:45,7
14/04/2020 20:50,10
14/04/2020 20:55,11
14/04/2020 21:00,9
14/04/2020 21:05,9
14/04/2020 21:10,1
14/04/2020 21:15,4
14/04/2020 21:20,6
14/04/2020 21:25,1
14/04/2020 21:30,7
14/04/2020 21:35,4
14/04/2020 21:40,2
14/04/2020 21:45,3
14/04/2020 21:50,4
14/04/2020 21:55,2
14/04/2020 22:00,5
14/04/2020 22:05,6
14/04/2020 22:10,2
14/04/2020 22:15,1
14/04/2020 22:20,2
14/04/2020 22:30,3
14/04/2020 22:40,4
14/04/2020 22:45,2
14/04/2020 22:50,1
14/04/2020 22:55,1
14/04/2020 23:00,3
14/04/2020 23:05,2
14/04/2020 23:10,1
14/04/2020 23:15,1
14/04/2020 23:20,1
14/04/2020 23:25,1
14/04/2020 23:30,3
14/04/2020 23:35,3
14/04/2020 23:40,1
14/04/2020 23:45,2
14/04/2020 23:55,5
